Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R04001,4.2.1.33,1.9,3.7,"['C02631 ', ' C00001 ']",[' C04411']
R01088,1.4.1.9,1.6,-18.6,"['C00233 ', ' C00014 ', ' C00004 ', ' C00080 ']","[' C00123 ', ' C00001 ', ' C00003']"
R10147,4.3.3.7,5.0,-82.0,"['C00441 ', ' C00022 ']","[' C20258 ', ' C00001']"
R00271,2.3.3.14,2.8,-28.7,"['C00024 ', ' C00001 ', ' C00026 ']","[' C01251 ', ' C00010']"
R02733,3.5.1.47,2.3,-24.6,"['C04390 ', ' C00001 ']","[' C00033 ', ' C00666']"
R02734,3.5.1.18,4.0,-9.0,"['C04421 ', ' C00001 ']","[' C00042 ', ' C00666']"
R04198,1.17.1.8,1.5,-49.8,"['C20258 ', ' C00004 ', ' C00080 ']","[' C03972 ', ' C00003 ', ' C00001']"
R01934,"1.1.1.87,1.1.1.286",4.0,-7.0,"['C05662 ', ' C00003 ']","[' C00322 ', ' C00011 ', ' C00004 ', ' C00080']"
R00715,1.5.1.7,2.9,18.3,"['C00449 ', ' C00003 ', ' C00001 ']","[' C00047 ', ' C00026 ', ' C00004 ', ' C00080']"
R04199,1.17.1.8,1.5,-49.6,"['C20258 ', ' C00005 ', ' C00080 ']","[' C03972 ', ' C00006 ', ' C00001']"
R00451,4.1.1.20,4.0,-35.0,['C00680 '],"[' C00047 ', ' C00011']"
R02735,5.1.1.7,2.9,-1.7,['C00666 '],[' C00680']
R04475,2.6.1.17,2.9,0.9,"['C04462 ', ' C00025 ']","[' C04421 ', ' C00026']"
R01939,2.6.1.39,2.9,0.7,"['C00322 ', ' C00025 ']","[' C00956 ', ' C00026']"
R03444,"4.2.1.114,4.2.1.-",1.9,0.4,['C01251 '],"[' C04002 ', ' C00001']"
R04371,"4.2.1.36,4.2.1.114",2.9,1.2,"['C04002 ', ' C00001 ']",[' C05662']
R04467,2.6.1.-,1.9,9.4,"['C05539 ', ' C00025 ']","[' C04390 ', ' C00026']"
R02315,1.5.1.10,3.2,-18.7,"['C00025 ', ' C04076 ', ' C00005 ', ' C00080 ']","[' C00449 ', ' C00006 ', ' C00001']"
R04364,"2.3.1.89,2.3.1.-",4.0,26.0,"['C03972 ', ' C00024 ', ' C00001 ']","[' C05539 ', ' C00010']"
R04365,2.3.1.117,5.0,26.0,"['C00091 ', ' C03972 ', ' C00001 ']","[' C00010 ', ' C04462']"
R02755,1.4.1.16,2.4,-11.0,"['C03871 ', ' C00014 ', ' C00005 ', ' C00080 ']","[' C00680 ', ' C00006 ', ' C00001']"
R04336,-,4.0,53.0,"['C03972 ', ' C00001 ']",[' C03871']
R07613,2.6.1.83,5.0,61.0,"['C03972 ', ' C00025 ', ' C00001 ']","[' C00666 ', ' C00026']"
R04863,1.2.1.95,,,"['C05560 ', ' C11482 ']","[' C05535 ', ' C00020']"
R04390,1.2.1.95,,,"['C05535 ', ' C00005 ', ' C00080 ']","[' C04076 ', ' C11482 ', ' C00006']"
R09775,6.3.2.43,,,"['C00956 ', ' C19885 ', ' C00002 ']","[' C19886 ', ' C00008 ', ' C00009']"
R09776,2.7.2.-,,,"['C19886 ', ' C00002 ']","[' C19887 ', ' C00008']"
R09777,1.2.1.-,,,"['C19887 ', ' C00005 ', ' C00080 ']","[' C19888 ', ' C00006 ', ' C00009']"
R09778,2.6.1.-,,,"['C19888 ', ' C00025 ']","[' C19889 ', ' C00026']"
R09779,-,,,"['C19889 ', ' C00001 ']","[' C00047 ', ' C19885']"
R03098,1.2.1.95,100000.0,0.0,"['C00956 ', ' C00002 ']","[' C05560 ', ' C00013']"
R00480,2.7.2.4,2.9,22.1,"['C00002 ', ' C00049 ']","[' C00008 ', ' C03082']"
R02291,1.2.1.11,1.7,4.0,"['C03082 ', ' C00005 ', ' C00080 ']","[' C00441 ', ' C00009 ', ' C00006']"
R03260,2.5.1.48,6.0,-62.0,"['C01118 ', ' C00097 ']","[' C02291 ', ' C00042']"
R01286,4.4.1.13,2.7,-34.3,"['C02291 ', ' C00001 ']","[' C00155 ', ' C00014 ', ' C00022']"
R01777,2.3.1.46,5.0,-30.0,"['C00091 ', ' C00263 ']","[' C00010 ', ' C01118']"
R00946,2.1.1.13,5.0,-3.0,"['C00440 ', ' C00155 ']","[' C00101 ', ' C00073']"
R01773,1.1.1.3,1.7,-21.7,"['C00441 ', ' C00004 ', ' C00080 ']","[' C00263 ', ' C00003']"
R01775,1.1.1.3,1.7,-21.6,"['C00441 ', ' C00005 ', ' C00080 ']","[' C00263 ', ' C00006']"
R09394,4.1.99.22,,,"['C00044 ', ' C00019 ', ' C00030 ']","[' C21310 ', ' C05198 ', ' C00073 ', ' C00028']"
R11372,4.6.1.17,,,"['C21310 ', ' C00001 ']","[' C18239 ', ' C00013']"
R09395,2.8.1.12,,,"['C18239 ', ' 2 C15814 ']","[' C05924 ', ' 2 C15810']"
R09735,2.10.1.1,,,"['C19848 ', ' C06232 ']","[' C18237 ', ' C00020 ', ' C00001']"
R09726,2.7.7.75,100000.0,0.0,"['C00002 ', ' C05924 ']","[' C00013 ', ' C19848']"
R04292,2.5.1.72,4.0,-218.0,"['C05840 ', ' C00111 ']","[' C03722 ', ' 2 C00001 ', ' C00009']"
R00257,6.3.5.1,2.9,-51.1,"['C00002 ', ' C00857 ', ' C00064 ', ' C00001 ']","[' C00020 ', ' C00013 ', ' C00003 ', ' C00025']"
R00189,"6.3.1.5,6.3.5.1",2.8,-19.4,"['C00002 ', ' C00857 ', ' C00014 ']","[' C00020 ', ' C00013 ', ' C00003']"
R00104,2.7.1.23,2.9,-10.9,"['C00002 ', ' C00003 ']","[' C00008 ', ' C00006']"
R03005,"2.7.7.1,2.7.7.18",5.0,-25.0,"['C00002 ', ' C01185 ']","[' C00013 ', ' C00857']"
R03348,2.4.2.19,4.0,-45.0,"['C03722 ', ' C00119 ']","[' C01185 ', ' C00013 ', ' C00011']"
R07407,1.4.1.21,2.5,60.3,"['C00049 ', ' C00006 ']","[' C05840 ', ' C00005 ', ' C00080']"
R07410,1.4.1.21,2.5,60.4,"['C00049 ', ' C00003 ']","[' C05840 ', ' C00004 ', ' C00080']"
R02035,3.1.1.31,1.7,-23.3,"['C01236 ', ' C00001 ']",[' C00345']
R02736,"1.1.1.49,1.1.1.363",2.4,-11.6,"['C01172 ', ' C00006 ']","[' C01236 ', ' C00005 ', ' C00080']"
R10907,"1.1.1.363,1.1.1.388",2.4,-11.4,"['C01172 ', ' C00003 ']","[' C01236 ', ' C00004 ', ' C00080']"
R01049,2.7.6.1,1.5,-1.3,"['C00002 ', ' C00117 ']","[' C00020 ', ' C00119']"
R01830,2.2.1.1,2.4,-5.9,"['C00279 ', ' C00231 ']","[' C05345 ', ' C00118']"
R01528,"1.1.1.44,1.1.1.351",3.2,-7.1,"['C00345 ', ' C00006 ']","[' C00199 ', ' C00011 ', ' C00005 ', ' C00080']"
R10221,"1.1.1.343,1.1.1.351",3.2,-6.9,"['C00345 ', ' C00003 ']","[' C00199 ', ' C00011 ', ' C00004 ', ' C00080']"
R01056,5.3.1.6,0.8,-2.1,['C00199 '],[' C00117']
R01827,2.2.1.2,2.0,3.5,"['C05382 ', ' C00118 ']","[' C00279 ', ' C05345']"
R01529,5.1.3.1,1.2,-3.4,['C00199 '],[' C00231']
R02739,"5.1.3.15,5.3.1.9",2.9,-1.3,['C00668 '],[' C01172']
R01641,2.2.1.1,1.9,-3.9,"['C00117 ', ' C00231 ']","[' C05382 ', ' C00118']"
R02740,5.3.1.9,1.6,1.1,['C05345 '],[' C00668']
R05338,4.1.2.43,1.7,9.4,['C06019 '],"[' C00199 ', ' C00067']"
R09780,5.3.1.27,2.2,10.4,['C05345 '],[' C06019']
R00691,"4.2.1.51,4.2.1.91",11.0,-94.0,['C00826 '],"[' C00079 ', ' C00001 ', ' C00011']"
R01373,"4.2.1.51,4.2.1.91",11.0,-84.0,['C00254 '],"[' C00166 ', ' C00001 ', ' C00011']"
R00694,"2.6.1.1,2.6.1.5,2.6.1.9,2.6.1.57",2.1,0.0,"['C00166 ', ' C00025 ']","[' C00079 ', ' C00026']"
R07276,2.6.1.79,1.9,9.6,"['C00254 ', ' C00025 ']","[' C00826 ', ' C00026']"
R10089,4.3.3.6,5.0,-305.0,"['C00117 ', ' C00118 ', ' C00064 ']","[' C00018 ', ' C00025 ', ' 3 C00001 ', ' C00009']"
R03314,-,5.0,-5.0,['C01165 '],"[' C03912 ', ' C00001']"
R00667,2.6.1.13,5.0,-4.0,"['C00077 ', ' C00026 ']","[' C01165 ', ' C00025']"
R01248,1.5.1.2,3.0,-48.8,"['C03912 ', ' C00004 ', ' C00080 ']","[' C00148 ', ' C00003']"
R03313,1.2.1.41,1.6,-27.2,"['C03287 ', ' C00005 ', ' C00080 ']","[' C01165 ', ' C00009 ', ' C00006']"
R01251,1.5.1.2,2.9,-48.6,"['C03912 ', ' C00005 ', ' C00080 ']","[' C00148 ', ' C00006']"
R00239,2.7.2.11,2.3,28.5,"['C00002 ', ' C00025 ']","[' C00008 ', ' C03287']"
R00582,3.1.3.3,0.28,-27.9,"['C01005 ', ' C00001 ']","[' C00065 ', ' C00009']"
R04173,2.6.1.52,0.4,-10.9,"['C03232 ', ' C00025 ']","[' C01005 ', ' C00026']"
R01513,1.1.1.95,0.6,33.1,"['C00197 ', ' C00003 ']","[' C03232 ', ' C00004 ', ' C00080']"
R03083,4.2.3.4,6.0,-168.0,['C04691 '],"[' C00944 ', ' C00009']"
R01826,2.5.1.54,2.4,-74.5,"['C00074 ', ' C00279 ', ' C00001 ']","[' C04691 ', ' C00009']"
R01714,4.2.3.5,4.0,-63.0,['C01269 '],"[' C00251 ', ' C00009']"
R02412,2.7.1.71,2.8,-24.5,"['C00002 ', ' C00493 ']","[' C00008 ', ' C03175']"
R03460,2.5.1.19,2.3,-16.7,"['C00074 ', ' C03175 ']","[' C00009 ', ' C01269']"
R03084,4.2.1.10,2.1,-5.3,['C00944 '],"[' C02637 ', ' C00001']"
R02413,"1.1.1.25,1.1.1.282",1.3,-8.6,"['C02637 ', ' C00005 ', ' C00080 ']","[' C00493 ', ' C00006']"
R04620,3.1.3.1,7.0,-130.0,"['C04895 ', ' 3 C00001 ']","[' C04874 ', ' 3 C00009']"
R05553,4.1.3.38,8.0,-106.0,['C11355 '],"[' C00568 ', ' C00022']"
R04638,3.6.1.67,6.0,-69.0,"['C04895 ', ' C00001 ']","[' C05925 ', ' C00013']"
R04639,3.5.4.16,9.0,-38.0,['C06148 '],"[' C04895 ', ' C00001']"
R05046,3.5.4.16,7.0,-56.0,"['C05922 ', ' C00001 ']","[' C05923 ', ' C00058']"
R03503,2.7.6.3,6.0,-4.0,"['C00002 ', ' C01300 ']","[' C00020 ', ' C04807']"
R03067,2.5.1.15,7.0,-62.0,"['C04807 ', ' C00568 ']","[' C00013 ', ' C00921']"
R01716,2.6.1.85,3.1,-17.9,"['C00251 ', ' C00064 ']","[' C11355 ', ' C00025']"
R11072,4.2.1.160,8.0,-50.0,['C01304 '],"[' C05925 ', ' C00001']"
R02237,"6.3.2.12,6.3.2.17",3.4,-18.8,"['C00002 ', ' C00921 ', ' C00025 ']","[' C00008 ', ' C00009 ', ' C00415']"
R04621,3.6.1.-,2.7,-26.3,"['C05925 ', ' C00001 ']","[' C04874 ', ' C00009']"
R03504,4.1.2.25,2.9,-10.2,['C04874 '],"[' C00266 ', ' C01300']"
R03066,2.5.1.15,3.0,-9.3,"['C01300 ', ' C00568 ']","[' C00921 ', ' C00001']"
R00936,1.5.1.3,1.2,-24.5,"['C00415 ', ' C00004 ', ' C00080 ']","[' C00101 ', ' C00003']"
R05048,3.5.4.16,1.3,-9.8,['C05923 '],[' C06148']
R00939,1.5.1.3,1.1,-24.3,"['C00415 ', ' C00005 ', ' C00080 ']","[' C00101 ', ' C00006']"
R00428,3.5.4.16,2.9,9.4,"['C00044 ', ' C00001 ']",[' C05922']
R11719,4.1.2.60,,,['C04895 '],"[' C01300 ', ' C21615']"
R00425,3.5.4.25,6.0,-112.0,"['C00044 ', ' 3 C00001 ']","[' C00058 ', ' C01304 ', ' C00013']"
R00617,2.7.4.16,4.0,-48.0,"['C00002 ', ' C01081 ']","[' C00008 ', ' C00068']"
R04509,2.7.4.7,4.0,7.0,"['C00002 ', ' C04556 ']","[' C00008 ', ' C04752']"
R05636,2.2.1.7,3.4,-31.3,"['C00022 ', ' C00118 ']","[' C11437 ', ' C00011']"
R10712,2.5.1.3,4.0,-56.0,"['C04752 ', ' C20247 ']","[' C01081 ', ' C00013 ', ' C00011']"
R07459,"2.7.7.73,2.7.7.80",,,"['C15810 ', ' C00002 ']","[' C15813 ', ' C00013']"
R07460,2.8.1.7,,,"['C15811 ', ' C00097 ']","[' C15812 ', ' C00041']"
R07461,"2.8.1.4,2.8.1.11",,,"['C15812 ', ' C15813 ', ' C00030 ']","[' C00020 ', ' C15814 ', ' C15811 ', ' C00028']"
R10246,4.1.99.19,,,"['C00082 ', ' C00019 ', ' C00030 ']","[' C15809 ', ' C01468 ', ' C05198 ', ' C00073 ', ' C00028']"
R10247,2.8.1.10,,,"['C11437 ', ' C15809 ', ' C15814 ']","[' C20246 ', ' C15810 ', ' 2 C00001']"
R09977,5.3.99.10,140000.0,0.0,['C20246 '],[' C20247']
R03472,4.1.99.17,100000.0,0.0,"['C03373 ', ' C00019 ']","[' C04556 ', ' C05198 ', ' C00073 ', ' C00058 ', ' C00237']"
R12026,2.4.2.59,100000.0,0.0,"['C00003 ', ' C00037 ', ' C00283 ']","[' C00153 ', ' C20784 ', ' 3 C00001']"
R01302,4.1.3.40,7.0,-130.0,['C00251 '],"[' C00156 ', ' C00022']"
R11102,2.4.2.54,4.0,-110.0,"['C00119 ', ' C00156 ']","[' C21107 ', ' C00011 ', ' C00013']"
R10339,2.5.1.105,7.0,-62.0,"['C04807 ', ' C20559 ']","[' C20562 ', ' C00013']"
R03388,1.5.1.47,3.2,-19.1,"['C05927 ', ' C00080 ', ' C00005 ']","[' C01217 ', ' C00006']"
RMAN1,-,,,['C21107 '],[' C20559']
RMAN2,-,,,['C20562 '],[' C05927']
R10802,1.5.99.15,,,"['C05927 ', ' C00030 ']","[' C01217 ', ' C00028']"
R01771,2.7.1.39,4.0,-38.0,"['C00002 ', ' C00263 ']","[' C00008 ', ' C01102']"
R01466,4.2.3.1,2.8,-46.8,"['C01102 ', ' C00001 ']","[' C00188 ', ' C00009']"
R00986,4.1.3.27,8.0,-124.0,"['C00251 ', ' C00064 ']","[' C00108 ', ' C00022 ', ' C00025']"
R00985,4.1.3.27,8.0,-93.0,"['C00251 ', ' C00014 ']","[' C00108 ', ' C00022 ', ' C00001']"
R01073,2.4.2.18,4.0,-61.0,"['C00108 ', ' C00119 ']","[' C04302 ', ' C00013']"
R03508,4.1.1.48,6.0,-92.0,['C01302 '],"[' C03506 ', ' C00011 ', ' C00001']"
R02722,4.2.1.20,3.1,-31.5,"['C00065 ', ' C03506 ']","[' C00078 ', ' C00118 ', ' C00001']"
R03509,5.3.1.24,1.3,-9.8,['C04302 '],[' C01302']
R00733,"1.3.1.78,1.3.1.79",11.0,-38.0,"['C00826 ', ' C00006 ']","[' C00082 ', ' C00011 ', ' C00005 ', ' C00080']"
R00732,"1.3.1.43,1.3.1.79",11.0,-38.0,"['C00826 ', ' C00003 ']","[' C00082 ', ' C00011 ', ' C00004 ', ' C00080']"
R01730,1.3.1.13,11.0,-28.0,"['C00254 ', ' C00006 ']","[' C01179 ', ' C00011 ', ' C00005 ', ' C00080']"
R01728,1.3.1.12,11.0,-28.0,"['C00254 ', ' C00003 ']","[' C01179 ', ' C00011 ', ' C00004 ', ' C00080']"
R00734,"2.6.1.1,2.6.1.5,2.6.1.9,2.6.1.57",2.1,-0.5,"['C01179 ', ' C00025 ']","[' C00082 ', ' C00026']"
R01715,5.4.99.5,5.0,-49.0,['C00251 '],[' C00254']
R01731,"2.6.1.57,2.6.1.78",2.0,12.4,"['C00049 ', ' C00254 ']","[' C00036 ', ' C00826']"
R00575,6.3.5.5,2.6,-27.3,"['2 C00002 ', ' C00064 ', ' C00288 ', ' C00001 ']","[' 2 C00008 ', ' C00009 ', ' C00025 ', ' C00169']"
R01867,1.3.98.1,2.4,-51.5,"['C00337 ', ' C00122 ']","[' C00295 ', ' C00042']"
R01870,2.4.2.10,1.3,7.7,"['C00295 ', ' C00119 ']","[' C01103 ', ' C00013']"
R01869,1.3.1.14,1.2,8.9,"['C00337 ', ' C00003 ']","[' C00295 ', ' C00080 ', ' C00004']"
R00965,4.1.1.23,9.0,-42.0,['C01103 '],"[' C00105 ', ' C00011']"
R01397,2.1.3.2,2.9,-22.2,"['C00169 ', ' C00049 ']","[' C00009 ', ' C00438']"
R01993,3.5.2.3,1.7,5.2,['C00438 '],"[' C00337 ', ' C00001']"
R00156,2.7.4.6,1.3,-0.3,"['C00002 ', ' C00015 ']","[' C00008 ', ' C00075']"
R00158,"2.7.4.4,2.7.4.14,2.7.4.22",3.2,-1.1,"['C00002 ', ' C00105 ']","[' C00008 ', ' C00015']"
R04441,4.2.1.9,1.4,-36.9,['C04272 '],"[' C00141 ', ' C00001']"
R00226,2.2.1.6,4.0,-29.0,['2 C00022 '],"[' C06010 ', ' C00011']"
R01214_1,-,3.5,-1.8,"['C00141 ', ' C00025 ']","[' C00183 ', ' C00026']"
R05071,"1.1.1.86,5.4.99.3",0.0,0.000257096246514265,['C06010 '],[' C04181']
R04440,1.1.1.86,1.0,-17.7,"['C04181 ', ' C00005 ', ' C00080 ']","[' C04272 ', ' C00006']"
R10935,-,100000.0,0.0,['2 C00118 '],"[' C20954 ', ' C00009 ', ' 2 C00001']"
R11038,-,2.0,-0.4,"['C20954 ', ' C00041 ']","[' C21068 ', ' C00022']"
R11039,-,1.3,4.6,"['C21068 ', ' C00002 ']","[' C21069 ', ' C00008']"
R00736,-,5.0,-87.0,['C00082 '],"[' C00483 ', ' C00011']"
R10902,-,2.4,-23.1,"['C00002 ', ' C00483 ', ' C00025 ']","[' C00008 ', ' C00009 ', ' C20926']"
R11040,-,5.0,-70.0,"['C21069 ', ' C20926 ']","[' C21070 ', ' C00013']"
RMAN3,-,,,['C21070 '],[' C00862']
RMAN4,-,4.0,-5.0,"['C00011 ', ' C00282 ']","[' C00058 ', ' C00080']"
R01195,1.18.1.2,6.0,-16.0,"['2 C00138 ', ' C00006 ', ' C00080 ']","[' 2 C00139 ', ' C00005']"
R00315 ,"2.7.2.1,2.7.2.15",0.5,-13.6,"['C00008 ', ' C00227 ']","[' C00002 ', ' C00033']"
R00230,2.3.1.8,0.6,8.7,"['C00024 ', ' C00009 ']","[' C00010 ', ' C00227']"
R00019,"1.12.7.2,1.12.99.-",7.0,-4.0,"['C00282 ', ' 2 C00139 ']","[' 2 C00138 ', ' 2 C00080']"
