Reaction ID,EC#,Uncertainty,dG0,Reagents,Products
R00405,6.2.1.5,1.3,-1.6,"['C00002 ', ' C00042 ', ' C00010 ']","[' C00008 ', ' C00009 ', ' C00091']"
R00354,4.1.3.34,2.0,-2.0,['C00566 '],"[' C00024 ', ' C00036']"
R01900,4.2.1.3,1.1,1.6,['C00311 '],"[' C00417 ', ' C00001']"
R01082,4.2.1.2,0.28,3.43,['C00149 '],"[' C00122 ', ' C00001']"
R00342,"1.1.1.37,1.1.1.299",0.3,-28.75,"['C00036 ', ' C00004 ', ' C00080 ']","[' C00149 ', ' C00003']"
R00267,1.1.1.42,3.2,12.0,"['C00026 ', ' C00011 ', ' C00005 ', ' C00080 ']","[' C00311 ', ' C00006']"
R01197,"1.2.7.3,1.2.7.11",7.0,13.0,"['2 C00138 ', ' C00091 ', ' C00011 ', ' 2 C00080 ']","[' 2 C00139 ', ' C00026 ', ' C00010']"
R01196,"1.2.7.1,1.2.7.11",7.0,19.0,"['2 C00138 ', ' C00024 ', ' C00011 ', ' 2 C00080 ']","[' 2 C00139 ', ' C00022 ', ' C00010']"
R07168,1.5.1.20,4.0,-43.0,"['C00143 ', ' C00004 ', ' C00080 ']","[' C00440 ', ' C00003']"
R00943,6.3.4.3,1.9,-2.6,"['C00101 ', ' C00058 ', ' C00002 ']","[' C00008 ', ' C00009 ', ' C00234']"
R01655,3.5.4.9,0.9,5.0,"['C00234 ', ' C00080 ']","[' C00445 ', ' C00001']"
R01220,1.5.1.5,1.1,-8.2,"['C00445 ', ' C00005 ']","[' C00143 ', ' C00006']"
R00134,1.17.1.10,3.3,14.5,"['C00011 ', ' C00005 ', ' C00080 ']","[' C00058 ', ' C00006']"
R10243,"2.1.1.258,2.3.1.169",5.0,-30.0,"['C00440 ', ' C00010 ', ' C00237 ']","[' C00101 ', ' C00024']"
R07157,1.2.7.4,7.0,31.0,"['C00011 ', ' 2 C00138 ', ' 2 C00080 ']","[' C00237 ', ' C00001 ', ' 2 C00139']"
R04230,6.3.2.51,5.0,-51.0,"['C00002 ', ' C03492 ', ' C00097 ']","[' C00020 ', ' C00013 ', ' C04352']"
R04231,6.3.2.5,5.0,-53.0,"['C00063 ', ' C03492 ', ' C00097 ']","[' C00055 ', ' C00013 ', ' C04352']"
R02473,6.3.2.1,1.3,-45.8,"['C00002 ', ' C00522 ', ' C00099 ']","[' C00020 ', ' C00013 ', ' C00864']"
R03269,4.1.1.36,3.1,-38.6,['C04352 '],"[' C01134 ', ' C00011']"
R03018,2.7.1.33,4.0,-10.0,"['C00002 ', ' C00864 ']","[' C00008 ', ' C03492']"
R00130,2.7.1.24,2.9,4.4,"['C00002 ', ' C00882 ']","[' C00008 ', ' C00010']"
R00489,"4.1.1.11,4.1.1.15",6.0,-36.0,['C00049 '],"[' C00099 ', ' C00011']"
R01214_2,-,3.5,1.8,"['C00183 ', ' C00026 ']","[' C00141 ', ' C00025']"
R01226,2.1.2.11,5.0,6.0,"['C00143 ', ' C00141 ', ' C00001 ']","[' C00101 ', ' C00966']"
R03035,2.7.7.3,5.0,-20.0,"['C00002 ', ' C01134 ']","[' C00013 ', ' C00882']"
R02472,1.1.1.169,2.9,-18.0,"['C00966 ', ' C00005 ', ' C00080 ']","[' C00522 ', ' C00006']"
R04439,"1.1.1.86,1.1.1.383",1.0,-17.7,"['C06010 ', ' C00005 ', ' C00080 ']","[' C04272 ', ' C00006']"
R08331,2.3.3.-,2.0,-31.7,"['C00322 ', ' C00024 ', ' C00001 ']","[' C16583 ', ' C00010']"
R08332,2.3.3.-,1.3,-26.1,"['C16588 ', ' C00024 ', ' C00001 ']","[' C16598 ', ' C00010']"
R08217,2.7.1.-,1.3,-9.3,"['C16594 ', ' C00002 ']","[' C04628 ', ' C00008']"
R08323,-,3.0,-21.3,"['C16593 ', ' C00188 ', ' C00002 ']","[' C16594 ', ' C00008 ', ' C00009']"
R08214,1.1.1.-,3.1,-15.2,"['C16597 ', ' C00003 ']","[' C16588 ', ' C00011 ', ' C00004 ', ' C00080']"
R08215,1.1.1.-,3.1,-15.2,"['C16600 ', ' C00003 ']","[' C16589 ', ' C00011 ', ' C00004 ', ' C00080']"
R08328,-,3.1,-26.0,['C16589 '],"[' C16590 ', ' C00011']"
R10392,4.2.1.114,1.9,0.4,['C16583 '],"[' C20581 ', ' C00001']"
