ID	Info	Cofactors	Codes	
R_R01213	[('dG0', '-24.4'), ('dG0_uncertainty', '1.3'), ('ec-code', '2.3.3.13'), ('kegg-reaction', 'R01213')]	K+	C00238	
R_R05225	[('dG0', '0.0'), ('dG0_uncertainty', '100000.0'), ('ec-code', '6.3.5.10'), ('kegg-reaction', 'R05225')]	Mg2+	C00305	
R_R02100	[('dG0', '-55.8'), ('dG0_uncertainty', '2.6'), ('ec-code', '3.6.1.23,3.6.1.-'), ('kegg-reaction', 'R02100')]	Mg2+	C00305	
R_R05789	[('dG0', '-32.8'), ('dG0_uncertainty', '1.3'), ('ec-code', '3.1.3.71'), ('kegg-reaction', 'R05789')]	Mg2+	C00305	
R_R07476	[('dG0', '0.0'), ('dG0_uncertainty', '70000.0'), ('ec-code', '4.4.1.19'), ('kegg-reaction', 'R07476')]	Mg2+	C00305	
R_R07281	[('dG0', '-103.5'), ('dG0_uncertainty', '2.1'), ('ec-code', '4.1.99.12'), ('kegg-reaction', 'R07281')]	Mg2+	C00305	
R_R07280	[('dG0', '-32.5'), ('dG0_uncertainty', '1.2'), ('ec-code', '3.1.3.104'), ('kegg-reaction', 'R07280')]	Mg2+	C00305	
R_R00161	[('dG0', '-12.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.7.7.2'), ('kegg-reaction', 'R00161')]	Mg2+	C00305	
R_R05338	[('dG0', '9.4'), ('dG0_uncertainty', '1.7'), ('ec-code', '4.1.2.43'), ('kegg-reaction', 'R05338')]	Mg2+	C00305	
R_R04638	[('dG0', '-69.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '3.6.1.67'), ('kegg-reaction', 'R04638')]	Mg2+	C00305	
R_R03503	[('dG0', '-4.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '2.7.6.3'), ('kegg-reaction', 'R03503')]	Mg2+	C00305	
R_R11102	[('dG0', '-110.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.4.2.54'), ('kegg-reaction', 'R11102')]	Mg2+	C00305	
R_R00315	[('dG0', '-13.6'), ('dG0_uncertainty', '0.5'), ('ec-code', '2.7.2.1,2.7.2.15'), ('kegg-reaction', 'R00315')]	Mg2+	C00305	
R_DGGGPS	[('dG0', '-36.7'), ('dG0_uncertainty', '5.4')]	Mg2+	C00305	
R_GGGPS	[('ec-code', '2.5.1.41'), ('kegg-reaction', 'R04158'), ('dG0', '-36.7'), ('dG0_uncertainty', '5.4')]	Mg2+	C00305	
R_FPPS	[('ec-code', '2.5.1.68'), ('kegg-reaction', 'R08528'), ('dG0', '-78.0'), ('dG0_uncertainty', '5.8')]	Mg2+	C00305	
R_RMAN8	[('ec-code', '2.7.8.7'), ('kegg-reaction', 'R01625'), ('dG0', '0.0'), ('dG0_uncertainty', '1000')]	Mg2+	C00305	
R_R00549	[('dG0', '-11.1'), ('dG0_uncertainty', '2.9'), ('ec-code', '2.7.1.26'), ('kegg-reaction', 'R00549')]	Mg2+ (Mn, Zn)	C00305	
R_R09726	[('dG0', '0.0'), ('dG0_uncertainty', '100000.0'), ('ec-code', '2.7.7.75'), ('kegg-reaction', 'R09726')]	Mg2+ (Mn2+)	C00305	
R_R09735	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.10.1.1'), ('kegg-reaction', 'R09735')]	Mg2+ (Zn2+)	C00305	
R_CDPAS	[('kegg-reaction', 'R08966'), ('ec-code', '2.7.7.67'), ('dG0', '-9.3'), ('dG0_uncertainty', '3.2')]	Mg2+ K+	C00238, C00305	
R_R00199	[('dG0', '-18.5'), ('dG0_uncertainty', '0.5'), ('ec-code', '2.7.9.2'), ('kegg-reaction', 'R00199')]	Mn2+	C19610	
R_APSS	[('kegg-reaction', 'R10255'), ('ec-code', '2.7.8.38'), ('dG0', '0.0'), ('dG0_uncertainty', '1000')]	Mn2+	C19610	
R_R00019	[('dG0', '-4.0'), ('dG0_uncertainty', '7.0'), ('ec-code', '1.12.7.2,1.12.99.-'), ('kegg-reaction', 'R00019')]	Ni2+	C19609	
R_R07157	[('dG0', '31.0'), ('dG0_uncertainty', '7.0'), ('ec-code', '1.2.7.4'), ('kegg-reaction', 'R07157')]	Fe4S4 (NiFeS)	Fe4S4	
R_R00258	[('dG0', '-0.2'), ('dG0_uncertainty', '0.5'), ('ec-code', '2.6.1.2'), ('kegg-reaction', 'R00258')]	Pyridoxal-P	C00018	
R_R00400	[('dG0', '2.6'), ('dG0_uncertainty', '0.7'), ('ec-code', '2.6.1.12'), ('kegg-reaction', 'R00400')]	Pyridoxal-P	C00018	
R_R00369	[('dG0', '8.4'), ('dG0_uncertainty', '1.6'), ('ec-code', '2.6.1.44'), ('kegg-reaction', 'R00369')]	Pyridoxal-P	C00018	
R_R02283	[('dG0', '3.0'), ('dG0_uncertainty', '3.4'), ('ec-code', '2.6.1.11'), ('kegg-reaction', 'R02283')]	Pyridoxal-P	C00018	
R_R00355	[('dG0', '-2.8'), ('dG0_uncertainty', '0.5'), ('ec-code', '2.6.1.1'), ('kegg-reaction', 'R00355')]	Pyridoxal-P	C00018	
R_R03231	[('dG0', '-0.709176020668'), ('dG0_uncertainty', '5e-12'), ('ec-code', '2.6.1.62'), ('kegg-reaction', 'R03231')]	Pyridoxal-P	C00018	
R_R10699	[('dG0', '5.9'), ('dG0_uncertainty', '1.8'), ('ec-code', '2.6.1.105'), ('kegg-reaction', 'R10699')]	Pyridoxal-P	C00018	
R_R10124	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.3.1.47'), ('kegg-reaction', 'R10124')]	Pyridoxal-P	C00018	
R_R00372	[('dG0', '-8.6'), ('dG0_uncertainty', '1.6'), ('ec-code', '2.6.1.4,2.6.1.44'), ('kegg-reaction', 'R00372')]	Pyridoxal-P	C00018	
R_R00945	[('dG0', '-6.8'), ('dG0_uncertainty', '1.2'), ('ec-code', '2.1.2.1'), ('kegg-reaction', 'R00945')]	Pyridoxal-P	C00018	
R_R03243	[('dG0', '8.4'), ('dG0_uncertainty', '2.9'), ('ec-code', '2.6.1.9'), ('kegg-reaction', 'R03243')]	Pyridoxal-P	C00018	
R_R02199	[('dG0', '5.9'), ('dG0_uncertainty', '3.5'), ('ec-code', '2.6.1.42'), ('kegg-reaction', 'R02199')]	Pyridoxal-P	C00018	
R_R01090	[('dG0', '-0.4'), ('dG0_uncertainty', '1.6'), ('ec-code', '2.6.1.6,2.6.1.42,2.6.1.67'), ('kegg-reaction', 'R01090')]	Pyridoxal-P	C00018	
R_R00451	[('dG0', '-35.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '4.1.1.20'), ('kegg-reaction', 'R00451')]	Pyridoxal-P	C00018	
R_R04475	[('dG0', '0.9'), ('dG0_uncertainty', '2.9'), ('ec-code', '2.6.1.17'), ('kegg-reaction', 'R04475')]	Pyridoxal-P	C00018	
R_R01939	[('dG0', '0.7'), ('dG0_uncertainty', '2.9'), ('ec-code', '2.6.1.39'), ('kegg-reaction', 'R01939')]	Pyridoxal-P	C00018	
R_R04467	[('dG0', '9.4'), ('dG0_uncertainty', '1.9'), ('ec-code', '2.6.1.-'), ('kegg-reaction', 'R04467')]	Pyridoxal-P	C00018	
R_R07613	[('dG0', '61.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '2.6.1.83'), ('kegg-reaction', 'R07613')]	Pyridoxal-P	C00018	
R_R09778	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.6.1.-'), ('kegg-reaction', 'R09778')]	Pyridoxal-P	C00018	
R_R03260	[('dG0', '-62.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '2.5.1.48'), ('kegg-reaction', 'R03260')]	Pyridoxal-P	C00018	
R_R01286	[('dG0', '-34.3'), ('dG0_uncertainty', '2.7'), ('ec-code', '4.4.1.13'), ('kegg-reaction', 'R01286')]	Pyridoxal-P	C00018	
R_R00694	[('dG0', '0.0'), ('dG0_uncertainty', '2.1'), ('ec-code', '2.6.1.1,2.6.1.5,2.6.1.9,2.6.1.57'), ('kegg-reaction', 'R00694')]	Pyridoxal-P	C00018	
R_R07276	[('dG0', '9.6'), ('dG0_uncertainty', '1.9'), ('ec-code', '2.6.1.79'), ('kegg-reaction', 'R07276')]	Pyridoxal-P	C00018	
R_R00667	[('dG0', '-4.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '2.6.1.13'), ('kegg-reaction', 'R00667')]	Pyridoxal-P	C00018	
R_R04173	[('dG0', '-10.9'), ('dG0_uncertainty', '0.4'), ('ec-code', '2.6.1.52'), ('kegg-reaction', 'R04173')]	Pyridoxal-P	C00018	
R_R05553	[('dG0', '-106.0'), ('dG0_uncertainty', '8.0'), ('ec-code', '4.1.3.38'), ('kegg-reaction', 'R05553')]	Pyridoxal-P	C00018	
R_R01716	[('dG0', '-17.9'), ('dG0_uncertainty', '3.1'), ('ec-code', '2.6.1.85'), ('kegg-reaction', 'R01716')]	Pyridoxal-P	C00018	
R_R07460	[('dG0', 'nan'), ('dG0_uncertainty', 'nan'), ('ec-code', '2.8.1.7'), ('kegg-reaction', 'R07460')]	Pyridoxal-P	C00018	
R_R01466	[('dG0', '-46.8'), ('dG0_uncertainty', '2.8'), ('ec-code', '4.2.3.1'), ('kegg-reaction', 'R01466')]	Pyridoxal-P	C00018	
R_R02722	[('dG0', '-31.5'), ('dG0_uncertainty', '3.1'), ('ec-code', '4.2.1.20'), ('kegg-reaction', 'R02722')]	Pyridoxal-P	C00018	
R_R00734	[('dG0', '-0.5'), ('dG0_uncertainty', '2.1'), ('ec-code', '2.6.1.1'), ('kegg-reaction', 'R00734')]	Pyridoxal-P	C00018	
R_R01731	[('dG0', '12.4'), ('dG0_uncertainty', '2.0'), ('ec-code', '2.6.1.57,2.6.1.78'), ('kegg-reaction', 'R01731')]	Pyridoxal-P	C00018	
R_R10305	[('dG0', '-57.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.5.1.134'), ('kegg-reaction', 'R10305')]	PyridoxalP	C00018	
R_R00897	[('dG0', '-51.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '2.5.1.47,2.5.1.65'), ('kegg-reaction', 'R00897')]	PyridoxalP	C00018	
R_R01001	[('dG0', '-32.0'), ('dG0_uncertainty', '6.0'), ('ec-code', '4.4.1.1'), ('kegg-reaction', 'R01001')]	PyridoxalP	C00018	
R_R07274	[('dG0', '-35.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.5.1.47,2.5.1.65'), ('kegg-reaction', 'R07274')]	PyridoxalP	C00018	
R_R01290	[('dG0', '-13.3'), ('dG0_uncertainty', '2.7'), ('ec-code', '4.2.1.22'), ('kegg-reaction', 'R01290')]	PyridoxalP	C00018	
R_R02272	[('dG0', '-9.1'), ('dG0_uncertainty', '0.7'), ('ec-code', '5.4.3.8'), ('kegg-reaction', 'R02272')]	PyridoxalP	C00018	
R_PSDC	[('ec-code', '4.1.1.65'), ('kegg-reaction', 'R02055'), ('dG0', '-15.9'), ('dG0_uncertainty', '1000')]	PyridoxalP	C00018	
R_APSD	[('dG0', '-15.9'), ('dG0_uncertainty', '1000')]	PyridoxalP	C00018	
R_R00996	[('dG0', '-42.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '4.3.1.19'), ('kegg-reaction', 'R00996')]	PyridoxalP (Fe2S2)	C00018, Fe2S2	
R_R08648	[('dG0', '-20.0'), ('dG0_uncertainty', '5.0'), ('ec-code', '2.2.1.6'), ('kegg-reaction', 'R08648')]	TPP	C00068	
R_R01830	[('dG0', '-5.9'), ('dG0_uncertainty', '2.4'), ('ec-code', '2.2.1.1'), ('kegg-reaction', 'R01830')]	TPP	C00068	
R_R01641	[('dG0', '-3.9'), ('dG0_uncertainty', '1.9'), ('ec-code', '2.2.1.1'), ('kegg-reaction', 'R01641')]	TPP	C00068	
R_R05636	[('dG0', '-31.3'), ('dG0_uncertainty', '3.4'), ('ec-code', '2.2.1.7'), ('kegg-reaction', 'R05636')]	TPP	C00068	
R_R00226	[('dG0', '-29.0'), ('dG0_uncertainty', '4.0'), ('ec-code', '2.2.1.6'), ('kegg-reaction', 'R00226')]	TPP	C00068	
R_R01197	[('dG0', '13.0'), ('dG0_uncertainty', '7.0'), ('ec-code', '1.2.7.3,1.2.7.11'), ('kegg-reaction', 'R01197')]	TPP Fe4S4	C00068, Fe4S4	
R_R01196	[('dG0', '19.0'), ('dG0_uncertainty', '7.0'), ('ec-code', '1.2.7.1,1.2.7.11'), ('kegg-reaction', 'R01196')]	TPP Fe4S4	C00068, Fe4S4	
R_R00669	[('dG0', '-24.4'), ('dG0_uncertainty', '3.5'), ('ec-code', '3.5.1.14,3.5.1.16'), ('kegg-reaction', 'R00669')]	Zn2+	C00038	
